ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
533,CRICETIDAE,Peromyscus,Peromyscus nasutus,sedentary,0,0,1,0,0,1,1,0,0
534,CRICETIDAE,Peromyscus,Peromyscus ochraventer,sedentary,0,0,1,0,0,1,1,0,0
535,CRICETIDAE,Peromyscus,Peromyscus pectoralis,sedentary,0,0,1,0,0,1,1,0,0
536,CRICETIDAE,Peromyscus,Peromyscus perfulvus,sedentary,0,0,1,0,0,1,1,0,0
537,CRICETIDAE,Peromyscus,Peromyscus polionotus,sedentary,0,0,1,0,0,1,1,0,0
538,CRICETIDAE,Peromyscus,Peromyscus polius,sedentary,0,0,1,0,0,1,1,0,0
539,CRICETIDAE,Peromyscus,Peromyscus sagax,sedentary,0,0,1,0,0,1,1,0,0
540,CRICETIDAE,Peromyscus,Peromyscus schmidlyi,sedentary,0,0,1,0,0,1,1,0,0
541,CRICETIDAE,Peromyscus,Peromyscus simulus,sedentary,0,0,1,0,0,1,1,0,0
542,CRICETIDAE,Peromyscus,Peromyscus spicilegus,sedentary,0,0,1,0,0,1,1,0,0
543,CRICETIDAE,Peromyscus,Peromyscus truei,sedentary,0,0,1,0,0,1,1,0,0
544,CRICETIDAE,Peromyscus,Peromyscus winkelmanni,sedentary,0,0,1,0,0,1,1,0,0
545,SCIURIDAE,Petaurista,Petaurista elegans,sedentary,0,0,1,0,0,0,0,1,0
546,SCIURIDAE,Petaurista,Petaurista petaurista,sedentary,0,0,1,0,0,0,0,1,0
547,SCIURIDAE,Petaurista,Petaurista philippensis,sedentary,0,0,1,0,0,0,0,1,0
548,SCIURIDAE,Petaurista,Petaurista xanthotis,sedentary,0,0,1,0,0,0,0,1,0
549,CRICETIDAE,Phaiomys,Phaiomys leucurus,sedentary,0,0,1,0,0,1,0,1,0
550,CRICETIDAE,Phenacomys,Phenacomys intermedius,colonizer,1,0,0,0,0,0,1,0,0
551,CRICETIDAE,Phenacomys,Phenacomys ungava,colonizer,1,0,0,0,0,0,1,0,0
552,DIDELPHIDAE,Philander,Philander opossum,sedentary,0,0,1,0,0,0,1,0,0
553,CRICETIDAE,Phodopus,Phodopus campbelli,sedentary,0,0,1,0,0,1,0,1,0
554,CRICETIDAE,Phodopus,Phodopus roborovskii,sedentary,0,0,1,0,0,1,0,1,0
555,CRICETIDAE,Phodopus,Phodopus sungorus,sedentary,0,0,1,0,0,1,0,1,0
556,CRICETIDAE,Podomys,Podomys floridanus,sedentary,0,0,1,0,0,1,1,0,0
557,PROCYONIDAE,Potos,Potos flavus,sedentary,0,0,1,0,0,0,1,0,0
558,FELIDAE,Prionailurus,Prionailurus bengalensis,sedentary,0,0,1,0,0,1,0,1,0
559,PRIONODONTIDAE,Prionodon,Prionodon pardicolor,sedentary,0,0,1,0,0,0,0,1,0
560,BOVIDAE,Procapra,Procapra gutturosa,sedentary,0,0,1,0,0,1,0,1,0
561,BOVIDAE,Procapra,Procapra picticaudata,sedentary,0,0,1,0,0,1,0,1,0
562,BOVIDAE,Procapra,Procapra przewalskii,sedentary,0,0,1,0,0,1,0,1,0
563,PROCAVIIDAE,Procavia,Procavia capensis,sedentary,0,0,1,0,0,0,0,1,0
